詩人,性別,唐詩紀事卷,birth-death,,,Geography,背景,當官年代,,
 964. 蕭嵩: 2 首,male,,670-749,,,"	唐朝--關內道--京兆--長安(Chang'an),	唐朝--河南道--徐州(Xu Zhou)","poet詩人,skilled at writing工於文,office: chief councilor[宰相]",705-765,,
 965. 陸堅: 2 首,male,,,,,唐朝--河北道--河南--洛陽(Luoyang),"calligrapher書法家,poet詩人",,,
 966. 劉太真: 2 首,male,,725-795,,,	唐朝--江南道--潤州--上元(Shangyuan),"poet詩人,skilled at writing工於文",764-789,,
 967. 袁傪: 2 首,male,,,,,	唐朝--河南道--陳州(Chen Zhou),poet詩人,762-762,,
 968. 崔何: 2 首,male,,,,,唐朝--河北道--鄭州--新鄭(Xinzheng),poet詩人,,,
 969. 王緯: 2 首,male,,728-798,,,唐朝--河東道--太原--太原(Taiyuan),"poet詩人,skilled at writing工於文",772-797,,
 970. 郭澹: 2 首,male,,,,,,poet詩人,,,
 971. 周存: 2 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
 972. 黎逢: 2 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
 973. 李景: 2 首,,,,,,,poet詩人,,,
 974. 張元宗: 2 首,male,,,,,,poet詩人,,,
 975. 李肱: 2 首,male,,,,,,poet詩人,,,
 976. 潘咸: 2 首,male,,,,,,,,,
 977. 張希複: 2 首,,,,,,,,,,
 978. 崔鉉: 2 首,male,,?-869,,,"唐朝--河北道--深州--安平(Anping),	唐朝--河北道--博州(Bo Zhou)","poet詩人,skilled at writing工於文,office: chief councilor[宰相]",807-865,,
 979. 鄭熏: 2 首,,,,,,,,,,
 980. 蒯希逸: 2 首,male,,,,,,poet詩人,,,
 981. 戈牢: 2 首,male,,,,,,skilled at writing工於文,,,
 982. 金厚載: 2 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
 983. 王甚夷: 2 首,male,,,,,,poet詩人,,,
 984. 譚銖: 2 首,male,,,,,唐朝--江南道--蘇州--吳縣(Wu Xian),"poet詩人,skilled at writing工於文",867-?,,
 985. 周墀: 2 首,male,,793-851,,,	唐朝--河南道--豫州--汝南(Ru'nan),"calligrapher書法家,poet詩人",817-849,,
 986. 李景讓: 2 首,male,,789-860,,,唐朝--河東道--太原--文水(Wenshui),,824-859,,
 987. 張固: 2 首,,,,,,,,,,
 988. 楊知至: 2 首,male,,,,,唐朝--河南道--虢州--弘農(Hongnong),poet詩人,854-877,,
 989. 李善夷: 2 首,male,,,,,,"poet詩人,skilled at writing工於文",898-?,,
 990. 盧溵: 2 首,male,,,,,,poet詩人,,,
 991. 裴諴: 2 首,male,,,,,	唐朝--河東道--絳州--聞喜(Wenxi),poet詩人,854-?,,
 992. 盧渥: 2 首,male,,820-905,,,唐朝--河北道--涿州--范陽(Fanyang),poet詩人,739?-886,,
 993. 高璩: 2 首,male,,?-865,,,唐朝--河北道--棣州--渤海(Bohai),poet詩人,858-865,,
 994. 高湘: 2 首,male,,,,,,poet詩人,854-876,,
 995. 裴虔餘: 2 首,male,,,,,,poet詩人,854-880,,
 996. 馮袞: 2 首,male,,,,,唐朝--江南道--婺州--東陽(Dongyang),poet詩人,850-867,,
 997. 溫庭皓: 2 首,male,,?-869,,,唐朝--河東道--太原--祁縣(Qi Xian),poet詩人,860-867,,
 998. 王季文: 2 首,male,,,,,	唐朝--江南道--池州(Chi Zhou),poet詩人,,,
 999. 司馬都: 2 首,male,,,,,,poet詩人,,,
1000. 歐陽澥: 2 首,male,,?-881,,,唐朝--江南道--泉州--晉江(Jinjiang),poet詩人,,,
1001. 童翰卿: 2 首,male,,,,,,poet詩人,,,
1002. 元凜: 2 首,,,,,,,,,,
1003. 徐振: 2 首,male,,907-?,,,,poet詩人,,,
1004. 大易: 2 首,male,,,,,,poet詩人,,,
1005. 釋泚: 2 首,male,,,,,,poet詩人,,,
1006. 崔璞: 2 首,,,,,,,,,,
1007. 張禕: 2 首,male,,,,,唐朝--山南道--鄧州--南陽(Nanyang),skilled at writing工於文,877-897,,
1008. 李搏: 2 首,male,,,,,,poet詩人,,,
1009. 鄭啟: 2 首,male,,,,,	唐朝--江南道--袁州--宜春(Yichun),poet詩人,,,
1010. 陸扆: 2 首,male,,847-905,,,唐朝--河南道--陝州--陜縣(Shan Xian),"calligrapher書法家,poet詩人,skilled at writing工於文,office: chief councilor[宰相]",891-905,,
1011. 薛昭緯: 2 首,male,,,,,	唐朝--河東道--蒲州--寶鼎(Baoding),poet詩人,888-903,,
1012. 陸翱: 2 首,male,,,,,	唐朝--江南道--蘇州--吳縣(Wu Xian),poet詩人,,,
1013. 裴廷裕: 2 首,male,,?-907,,,唐朝--河東道--絳州--聞喜(Wenxi),"poet詩人,skilled at writing工於文",891-907,,
1014. 沈顏: 2 首,male,,,,,唐朝--江南道--蘇州--吳縣(Wu Xian),skilled at writing工於文,,,
1015. 許晝: 2 首,male,,,,,	唐朝--吐蕃諸部(Tufan Tribes),poet詩人,,,
1016. 裴諧: 2 首,male,,,,,	唐朝--嶺南道--桂州--桂州(Guizhou),"poet詩人,man of culture (wenren)文人",,,
1017. 劉畋: 2 首,male,,,,,,poet詩人,,,
1018. 趙光遠: 2 首,male,,,,,	唐朝--關內道--京兆--奉天(Fengtian),poet詩人,,,
1019. 嚴郾: 2 首,male,,,,,,poet詩人,,,
1020. 張友正: 2 首,male,,,,,宋朝--京西南路--光化軍--光化(Guanghua),literati士人,,,
1021. 顏蕘: 2 首,male,,,,,,skilled at writing工於文,893-900,,
1022. 劉贊: 2 首,male,,,,,	唐朝--河北道--魏州(Wei Zhou),skilled at writing工於文,,,
1023. 滕白: 2 首,male,,,,,,poet詩人,,,
1024. 布燮: 2 首,male,,,,,,poet詩人,,,
1025. 許鼎: 2 首,,,,,,,,,,
1026. 李濤1: 2 首,male,,,,,唐朝--江南道--潭州--長沙(Changsha),poet詩人,,,
1027. 熊皦: 2 首,male,,,,,,,,,
1028. 高輦: 2 首,male,,?-933,,,	唐朝--河南道--青州--益都(Yidu),poet詩人,,,
1029. 劉洞: 2 首,male,,?-975,,,	唐朝--江南道--吉州--廬陵(Luling),poet詩人,,,
1030. 陳沆: 2 首,male,,,,,唐朝--江南道--明州--鄮縣(Mou Xian),"poet詩人,	civil office[為官者：文]",,,
1031. 蕭彧: 2 首,male,,,,,,poet詩人,,,
1032. 韓昭: 2 首,male,,,,,唐朝--關內道--京兆--長安(Chang'an),poet詩人,?-967,,
1033. 張令問: 2 首,male,,,,,	唐朝--劍南道--蜀州--唐興(Tangxing),poet詩人,,,
1034. 幸夤遜: 2 首,male,,,,,宋朝--峽路--雲安軍--雲安(Yunan),"civil office[為官者：文],historian史學家",?-972,,
1035. 李宏皋: 2 首,male,,,,,,skilled at writing工於文,,,
1036. 何仲舉: 2 首,male,,,,,	宋朝--荊湖南路--道州--營道(Yingdao),poet詩人,,,
1037. 伍彬: 2 首,male,,,,,	唐朝--河南道--徐州--下邳(Xiapei),poet詩人,?-980,,
1038. 楊徽之: 2 首,male,,?-999,,,宋朝--福建路--建州--浦城(Pucheng),"civil office[為官者：文],historian史學家",963-999,,
1039. 王正己: 2 首,male,,,,,,,,,
1040. 顏仁郁: 2 首,male,,,,,	唐朝--江南道--泉州(Quan Zhou),poet詩人,,,
1041. 王延彬: 2 首,male,,,,,	唐朝--河南道--光州--固始(Gushi),poet詩人,904-?,,
1042. 丘光庭: 2 首,,,,,,,,,,
1043. 李茂複: 2 首,,,,,,,,,,
1044. 盧注: 2 首,male,,,,,,poet詩人,,,
1045. 胡幽貞: 2 首,male,,,,,	唐朝--江南道--明州(Ming Zhou),poet詩人,,,
1046. 裴延: 2 首,male,,,,,,poet詩人,,,
1047. 賀朝清: 2 首,male,,,,,,poet詩人,,,
1048. 唐暄: 2 首,male,,?-747,,,,poet詩人,,,
1049. 韋鵬翼: 2 首,male,,,,,,poet詩人,,,
1050. 張起: 2 首,male,,,,,,poet詩人,779-?,,
1051. 朱子真: 2 首,male,,,,,,poet詩人,,,
1052. 安鳳: 2 首,male,,,,,唐朝--淮南道--壽州--壽春(Shouchun),poet詩人,,,
1053. 趙摶: 2 首,male,,,,,,poet詩人,,,
1054. 張安石: 2 首,male,,,,,,poet詩人,,,
1055. 唐怡: 2 首,,,,,,,,,,
1056. 閻德隱: 2 首,male,,,,,,poet詩人,,,
1057. 戴衢: 2 首,male,,,,,,poet詩人,,,
1058. 謝邈: 2 首,male,,,,,,poet詩人,,,
1059. 唐備: 2 首,male,,,,,,"poet詩人,man of culture文人",,,
1060. 盧群玉: 2 首,male,,,,,,poet詩人,,,
1061. 李士元: 2 首,,,,,,,,,,
1062. 楊達: 2 首,,,,,,,,,,
1063. 李叔卿: 2 首,male,,,,,	唐朝--關內道--京兆--萬年(Wannian),poet詩人,728-728,,
1064. 李賓: 2 首,,,,,,,,,,
1065. 鄭縉: 2 首,male,,,,,,poet詩人,,,
1066. 伊夢昌: 2 首,male,,,,,,poet詩人,,,
1067. 牛殳: 2 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1068. 吳象之: 2 首,,,,,,,,,,
1069. 石召: 2 首,male,,,,,,poet詩人,,,
1070. 蔡昆: 2 首,male,,,,,,poet詩人,,,
1071. 石殷士: 2 首,male,,,,,,poet詩人,,,
1072. 柴宿: 2 首,male,,,,,,poet詩人,,,
1073. 孫頠: 2 首,male,,,,,唐朝--江南道--睦州(Mu Zhou),skilled at writing工於文,,,
1074. 穆寂: 2 首,male,,,,,唐朝--河北道--河南--河南(He'nan),"poet詩人,skilled at writing工於文",810-?,,
1075. 李沛: 2 首,male,,,,,,skilled at writing工於文,786-786,,
1076. 嚴巨川: 2 首,male,,,,,,poet詩人,,,
1077. 錢眾仲: 2 首,,,,,,,,,,
1078. 呂敞: 2 首,male,,,,,	唐朝--河北道--河南--緱氏(Goushi),poet詩人,806-?,,
1079. 張隨: 2 首,male,,,,,唐朝--嶺南道--韶州--曲江(Qujiang),skilled at writing工於文,,,
1080. 盧尚書: 2 首,male,,,,,唐朝--河東道--蒲州(Pu Zhou),"poet詩人,man of culture文人",771-784,,
1081. 任生: 2 首,,,,,,,,,,
1082. 河北士人: 2 首,,,,,,,,,,
1083. 洛中舉子: 2 首,,,,,,,,,,
1084. 織錦人: 2 首,male,,,,,,poet詩人,,,
1085. 天寶宮人: 2 首,female,,,,,,,,,
1086. 張氏: 2 首,,,,,,,,,,
1087. 王霞卿: 2 首,male,,,,,	唐朝--關內道--京兆--藍田(Lantian),poet詩人,,,
1088. 竇梁賓: 2 首,male,,,,,	唐朝--河南道--汴州(Bian Zhou),poet詩人,,,
1089. 黃崇嘏: 2 首,female,,,,,	唐朝--劍南道--邛州--臨邛(Linqiong),poet詩人,,,
male,female,,,,,,,,,
1091. 鮑家四弦: 2 首,,,,,,,,,,
1092. 崔公遠: 2 首,female,,,,,,poet詩人,,,
1093. 葛鴉兒: 2 首,male,,,,,,poet詩人,,,
1094. 張瑛: 2 首,,,,,,,,,,
1095. 越溪楊女: 2 首,female,female,,,,,poet詩人,,,
1096. 關盼盼: 2 首,female,,?-811,,,,poet詩人,,,
1097. 常浩: 2 首,female,,,,,,"poet詩人,female entertainer妓,man of culture文人",,,
1098. 楊萊兒: 2 首,male,,,,,,poet詩人,,,
1099. 寒山: 2 首,male,,,,,,poet詩人,,,
1100. 法宣: 2 首,,,,,,,,,,
1101. 慧偘: 2 首,male,,?-605,,,	唐朝--江南道--潤州--曲阿(Qu'e),poet詩人,,,
1102. 懷素: 2 首,male,,737-?,,,唐朝--江南道--潭州--長沙(Changsha),skilled at writing工於文,,,
1103. 元孚: 2 首,male,,,,,,poet詩人,854-?,,
1104. 應物: 2 首,male,,,,,,poet詩人,,,
1105. 僧鸞: 2 首,male,,,,,,skilled at writing工於文,,,
1106. 神穎: 2 首,male,,,,,,poet詩人,,,
1107. 懷楚: 2 首,male,,,,,,poet詩人,,,
1108. 無則: 2 首,male,,,,,,poet詩人,,,
1109. 棲一: 2 首,,,,,,,,,,
1110. 無悶: 2 首,male,,,,,,skilled at writing工於文,,,
1111. 懷浦: 2 首,male,,,,,,poet詩人,,,
1112. 亞棲: 2 首,,,,,,,,,,
1113. 尚能: 2 首,male,,,,,,poet詩人,,,
1114. 陳寡言: 2 首,male,,,,,	唐朝--江南道--越州--諸暨(Zhuji),poet詩人,,,
1115. 徐靈府: 2 首,male,,,,,唐朝--江南道--杭州--錢塘(Qiantang),"poet詩人,skilled at writing工於文",,,
1116. 程紫霄: 2 首,male,,,,,,poet詩人,,,
1117. 舒道紀: 2 首,male,,,,,唐朝--江南道--婺州(Wu Zhou),poet詩人,,,
1118. 韓湘: 2 首,male,,795-?,,,唐朝--河北道--河南--河陽(Heyang),"poet詩人,man of culture文人",,,
1119. 鐘離權: 2 首,,,,,,,,,,
1120. 殷七七: 2 首,male,,,,,,poet詩人,,,
1121. 譚峭: 2 首,male,,,,,	唐朝--江南道--泉州(Quan Zhou),poet詩人,,,
1122. 許碏: 2 首,male,,,,,唐朝--河北道--瀛州--高陽(Gaoyang,poet詩人,,,
1123. 酒肆布衣: 2 首,,,,,,,,,,
1124. 李公佐僕: 2 首,,,,,,,,,,
1125. 許學士: 2 首,male,,,,,,poet詩人,,,
1126. 紫微孫處士: 2 首,,,,,,,,,,
1127. 方壺居士: 2 首,male,,?-1227,,,	宋朝--江南東路--歙州--休寧(Xiuning),"recluse[隱士],Neo-Confucian thinker (lixue)理學家,erudite博學之人,literati士人",,,
1128. 劉道昌: 2 首,male,,,,,,poet詩人,,,
1129. 李太玄: 2 首,male,,,,,蜀(Shu),poet詩人,,,
1130. 洛川仙女: 2 首,,female,,,,,,,,
1131. 織女: 2 首,,female,,,,,,,,
1132. 嵩山女: 2 首,female,female,,,,,,,,
1133. 王仙仙: 2 首,,,,,,,,,,
1134. 虎丘石壁鬼: 2 首,,,,,,,,,,
1135. 富春沙際鬼: 2 首,,,,,,,,,,
1136. 龐德公: 2 首,male,,,,,,poet詩人,,,
1137. 唐晅: 2 首,male,,,,,	唐朝--隴右道--瓜州--晉昌(Jinchang),poet詩人,,,
1138. 張太華: 2 首,,,,,,,,,,
1139. 韋檢: 2 首,,,,,,,,,,
1140. 故台城妓: 2 首,,,,,,,,,,
1141. 無名鬼: 2 首,,,,,,,,,,
1142. 嚴含質: 2 首,male,,,,,,poet詩人,,,
1143. 裴略: 2 首,male,,,,,,poet詩人,,,
1144. 張保胤: 2 首,male,,,,,,poet詩人,,,
1145. 李濤: 2 首,,,,,,,,,,
1146. 李曄: 2 首,male,,,,,	唐朝--關內道--京兆--萬年(Wannian),poet詩人,749-758,,
1147. 王衍: 2 首,male,,899-?,,,唐朝--河南道--許州--舞陽(Wuyang),"poet詩人,skilled at writing工於文",,,
1148. 李亨: 1 首,,,,,,,,,,
1149. 李曄1: 1 首,male,,?-776,,,,poet詩人,,,
1150. 楊玉環: 1 首,male,,719-756,,,唐朝--河東道--蒲州--永樂(Yongle),"poet詩人,imperial consort[后妃]",745-?,,
1151. 江妃: 1 首,female,,?-756,,,唐朝--江南道--泉州--莆田(Putian),skilled at writing工於文,727-?,,
1152. 李元嘉: 1 首,male,,618-688,,,唐朝--關內道--京兆--長安(Chang'an),"calligrapher書法家,painter畫家,poet詩人,imperial prince宗子",632-697,,
1153. 李貞: 1 首,male,,?-688,,,,skilled at writing工於文,687-?,,
1154. 李禕: 1 首,male,,?-743,,,,skilled at writing工於文,724-734,,
1155. 宋若華: 1 首,female,,?-820,,,唐朝--河北道--貝州--清陽(Qingyang),poet詩人,,,
1156. 宋若昭: 1 首,female,,?-825,,,唐朝--河北道--貝州--清陽(Qingyang),"poet詩人,skilled at writing工於文",788-?,,
1157. 宋若憲: 1 首,female,,?-835,,,	唐朝--河北道--貝州--清陽(Qingyang),poet詩人,788-?,,
1158. 蕭妃: 1 首,female,,,,,,poet詩人,,,
1159. 李從善: 1 首,male,,?-987,,,"宋朝--開封府--開封(Kaifeng),唐朝--河南道--徐州(Xu Zhou),宋朝--秦鳳路--秦州--成紀(Chengji)","poet詩人,military[武官]",975-987,,
1160. 李從謙: 1 首,male,,?-995,,,	唐朝--河南道--徐州(Xu Zhou),skilled at writing工於文,972-980,,
1161. 李建: 1 首,,,,,,,,,,
1162. 錢俶: 1 首,male,,?-988,,,"唐朝--江南道--杭州--錢塘(Qiantang),唐朝--江南道--杭州--臨安(Lin'an)","skilled at writing工於文,ruler統治者",?-988,,
1163. 王繼鵬: 1 首,male,,?-939,,,"唐朝--江南道--泉州--南安(Nan'an),	唐朝--河南道--光州--固始(Gushi)","poet詩人,ruler統治者",,,
1164. 薑晞: 1 首,,,,,,,,,,
1165. 裴璀: 1 首,,,,,,,,,,
1166. 丘說: 1 首,male,,?-713,,,唐朝--河北道--河南--陸渾(Luhun),skilled at writing工於文,709-713,,
1167. 劉子玄: 1 首,male,,?-708,,,,poet詩人,,,
1168. 陳京: 1 首,male,,?-805,,,"唐朝--關內道--京兆--長安(Chang'an),	唐朝--關內道--京兆--萬年(Wannian)","poet詩人,civil office[為官者：文]",781-803,,
1169. 李彥暐: 1 首,male,,,,,,poet詩人,,,
1170. 陳昭: 1 首,male,,,,,唐朝--江南道--常州--義興(Yixing),poet詩人,,,
1171. 張氏琰: 1 首,,,,,,,,,,
1172. 程氏長文: 1 首,,,,,,,,,,
1173. 張汯: 1 首,,,,,,,,,,
1174. 劉元濟: 1 首,male,,,,,唐朝--河北道--河南--鞏州(Gong Zhou),"skilled at writing工於文,ruler統治者",684-792,,
1175. 劉義: 1 首,male,,,,,,poet詩人,728-?,,
1176. 姚氏月華: 1 首,,,,,,,,,,
1177. 劉阜: 1 首,,,,,,,,,,
1178. 劉氏媛: 1 首,female,,,,,,,,,
1179. 嚴識玄: 1 首,male,,654-717,,,唐朝--關內道--同州--馮翊(Fengyi),"poet詩人,skilled at writing工於文",713-713,,
1180. 薛耀: 1 首,male,,,,,	唐朝--河東道--蒲州--寶鼎(Baoding),"poet詩人,skilled at writing工於文,military[武官]",695-?,,
1181. 梁氏瓊: 1 首,,,,,,,,,,
1182. 盧弼: 1 首,,,,,,,,,,
1183. 趙微明: 1 首,male,,,,,	唐朝--隴右道--秦州--上邽(Shanggui),"poet詩人,man of culture文人",,,
1184. 吉中孚妻: 1 首,female,,,,,,,,only found the husband,
1185. 李賢: 1 首,male,,653-684,,,唐朝--隴右道--臨州--狄道(Didao),skilled at writing工於文,675-?,,
1186. 薛維翰: 1 首,male,,,,,,poet詩人,,,
1187. 王珪: 1 首,male,,571-639,,,"唐朝--關內道--京兆--長安(Chang'an),唐朝--河東道--太原--祁縣(Qi Xian)","poet詩人,skilled at writing工於文,office: chief councilor[宰相]",618-638,,
1188. 顏師古: 1 首,male,,581-645,,,	唐朝--關內道--京兆--長安(Chang'an),"skilled at writing工於文,civil office[為官者：文]",586-641,,
1189. 令狐德棻: 1 首,male,,583-66,,,唐朝--關內道--京兆--華原(Huayuan),"poet詩人,skilled at writing工於文,civil office[為官者：文]",617-667,,
1190. 封行高: 1 首,male,,,,,唐朝--河北道--德州--蓨縣(Xiu Xian),poet詩人,638-?,,
1191. 劉洎: 1 首,male,,,,,唐朝--山南道--江陵(Jiangling),skilled at writing工於文,617-644,,
1192. 褚遂良: 1 首,male,,596-658,,,唐朝--江南道--杭州--錢塘(Qiantang),"calligrapher書法家,poet詩人,skilled at writing工於文,office: chief councilor[宰相]",617-657,,
1193. 楊續: 1 首,male,,,,,唐朝--關內道--華州--華陰(Huayin),"poet詩人,civil office[為官者：文]",638-?,,
1194. 沈叔安: 1 首,male,,,,,	唐朝--江南道--湖州--武康(Wukang),poet詩人,,,
1195. 何仲宣: 1 首,male,,,,,,poet詩人,,,
1196. 趙中虛: 1 首,male,,,,,,poet詩人,,,
1197. 蔡允恭: 1 首,male,,,,,唐朝--山南道--江陵(Jiangling),poet詩人,599-627,,
1198. 杜之松: 1 首,male,,,,,	唐朝--關內道--京兆(Jingzhao),"poet詩人,skilled at writing工於文",638-638,,
1199. 朱仲晦: 1 首,,,,,,,,,,
1200. 朱子奢: 1 首,male,,?-641,,,	唐朝--江南道--蘇州--吳縣(Wu Xian),"poet詩人,skilled at writing工於文",611-627,,
1201. 張文收: 1 首,male,,,,,唐朝--河北道--貝州--清河(Qinghe),poet詩人,627-670,,
1202. 毛明素: 1 首,male,,,,,,poet詩人,,,
1203. 來濟: 1 首,male,,610-662,,,唐朝--淮南道--揚州--江都(Jiangdu),"calligrapher書法家,poet詩人,skilled at writing工於文",638-660,,
1204. 薛元超: 1 首,male,,,,,唐朝--河東道--蒲州--寶鼎(Baoding),"poet詩人,office: chief councilor[宰相]",,,
1205. 蕭翼: 1 首,male,,,,,,poet詩人,638-?,,
1206. 閻立本: 1 首,male,,?-673,,,唐朝--關內道--京兆--萬年(Wannian),skilled at writing工於文,638-678,,
1207. 張大安: 1 首,male,,?-684,,,唐朝--河北道--魏州--昌樂(Changle),"poet詩人,office: chief councilor[宰相]",675-684,,
1208. 郭正一: 1 首,male,,?-689,,,唐朝--河北道--定州--鼓城(Gucheng),skilled at writing工於文,681-687,,
1209. 胡元范: 1 首,,,,,,,,,,
1210. 裴守真: 1 首,male,,,,,唐朝--河東道--絳州--稷山(Jishan),skilled at writing工於文,680-691,,
1211. 王德真: 1 首,male,,,,,	唐朝--關內道--京兆(Jingzhao),poet詩人,668-684,,
1212. 鄭義真: 1 首,male,,,,,,poet詩人,,,
1213. 蕭楚材: 1 首,male,,,,,,poet詩人,667-?,,
1214. 薛克構: 1 首,male,,,,,唐朝--河東道--蒲州--河東(Hedong),poet詩人,680-684,,
1215. 徐珩: 1 首,male,,,,,宋朝--河東路--嵐州--寧化(Ninghua),poet詩人,,,
1216. 賀遂亮: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",659-660,,
1217. 韓思彥: 1 首,male,,,,,	唐朝--山南道--鄧州--南陽(Nanyang),"poet詩人,civil office[為官者：文]",,,
1218. 魏求己: 1 首,male,,,,,	唐朝--河北道--邢州--鉅鹿(Julu),poet詩人,,,
1219. 劉懷一: 1 首,male,,,,,唐朝--河南道--徐州--彭城(Pengcheng),poet詩人,709-?,,
1220. 許天正: 1 首,male,,,,,	唐朝--河南道--豫州--汝南(Ru'nan),poet詩人,684-684,,
1221. 許圉師: 1 首,male,,?-679,,,	唐朝--江南道--安州--安陸(Anlu),poet詩人,638-677,,
1222. 鄭惟忠: 1 首,male,,?-722,,,唐朝--河南道--宋州--宋城(Songcheng),poet詩人,705-713,,
1223. 李福業: 1 首,male,,,,,,poet詩人,,,
1224. 薛昚惑: 1 首,,,,,,,,,,
1225. 賀敱: 1 首,male,,,,,	唐朝--江南道--越州--山陰(Shanyin),poet詩人,650-?,,
1226. 王勔: 1 首,male,,?-697,,,唐朝--河東道--絳州--龍門(Longmen),skilled at writing工於文,,,
1227. 邵大震: 1 首,male,,,,,唐朝--河北道--相州--安陽(Anyang),poet詩人,,,
1228. 辛常伯: 1 首,male,,,,,,poet詩人,,,
1229. 李夔: 1 首,male,,,,,,poet詩人,697-?,,
1230. 邵升: 1 首,,,,,,,,,,
1231. 唐遠悊: 1 首,male,,,,,,poet詩人,,,
1232. 史俊: 1 首,male,,,,,,poet詩人,,,
1233. 楊敬述: 1 首,male,,,,,,poet詩人,700-716,,
1234. 喬侃: 1 首,male,,,,,唐朝--關內道--同州--馮翊(Fengyi),poet詩人,697-713,,
1235. 魏奉古: 1 首,male,,,,,,poet詩人,715-?,,
1236. 閭丘均: 1 首,male,,,,,唐朝--劍南道--成都--成都(Chengdu),poet詩人,709-?,,
1237. 劉知幾: 1 首,male,,661-721,,,唐朝--河南道--徐州--彭城(Pengcheng),"skilled at writing工於文,civil office[為官者：文]",698-721,,
1238. 丘悅: 1 首,male,,?-713,,,	唐朝--河北道--河南--陸渾(Luhun),skilled at writing工於文,709-713,,
1239. 陰行先: 1 首,male,,,,,	唐朝--吐蕃諸部(Tufan Tribes),poet詩人,,,
1240. 王熊: 1 首,male,,,,,唐朝--河東道--太原--祁縣(Qi Xian),"painter畫家,poet詩人",709-716,,
1241. 梁知微: 1 首,male,,,,,,poet詩人,727-727,,
1242. 李伯魚: 1 首,male,,,,,	唐朝--河南道--青州--臨淄(Linzi),poet詩人,,,
1243. 楊重玄: 1 首,male,,,,,,poet詩人,,,
1244. 朱使欣: 1 首,male,,,,,,poet詩人,,,
1245. 袁恕己: 1 首,male,,?-706,,,唐朝--河北道--景州--東光(Dongguang),poet詩人,703-706,,
1246. 劉幽求: 1 首,male,,655-715,,,唐朝--河北道--冀州--武強(Wuqiang),poet詩人,684-715,,
1247. 章玄同: 1 首,male,,,,,,poet詩人,,,
1248. 王易從: 1 首,male,,667-726,,,	唐朝--嶺南道--恩州--杜陵(Duling),poet詩人,711-?,,
1249. 牛鳳及: 1 首,male,,,,,	唐朝--關內道--涇州(Jing Zhou),poet詩人,,,
1250. 王紹宗: 1 首,male,,,,,唐朝--淮南道--揚州--江都(Jiangdu),"calligrapher書法家,painter畫家,poet詩人,skilled at writing工於文,civil office[為官者：文]",698-?,,
1251. 鄭遂初: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
1252. 張楚金: 1 首,male,,612-690,,,唐朝--河東道--太原--祁縣(Qi Xian),poet詩人,667-698?,,
1253. 房融: 1 首,male,,?-705,,,唐朝--河北道--河南--偃師(Yanshi),"poet詩人,office: chief councilor[宰相]",697-904,,
1254. 呂太一: 1 首,male,,,,,唐朝--河東道--蒲州--河東(Hedong),skilled at writing工於文,711-?,,
1255. 鄭蜀賓: 1 首,male,,,,,唐朝--河北道--鄭州--榮陽(Rongyang),poet詩人,693-?,,
1256. 李行言: 1 首,male,,,,,唐朝--隴右道--渭州--隴西(Longxi),poet詩人,707-?,,
1257. 郭利貞: 1 首,male,,,,,,poet詩人,706-?,,
1258. 元希聲: 1 首,male,,662-707,,,唐朝--河北道--河南--洛陽(Luoyang),poet詩人,684-788?,,
1259. 李澄之: 1 首,male,,?-706,,,	唐朝--河南道--汴州--尉氏(Weishi),poet詩人,706?-?,,
1260. 李如璧: 1 首,male,,,,,	唐朝--嶺南道--融州--武陽(Wuyang),poet詩人,711-727,,
1261. 洪子輿: 1 首,male,,,,,唐朝--淮南道--廬州--舒城(Shucheng),poet詩人,713-?,,
1262. 寇泚: 1 首,male,,,,,唐朝--關內道--同州--馮翊(Fengyi),skilled at writing工於文,724-725,,
1263. 吳兢: 1 首,male,,670-749,,,唐朝--河南道--汴州--浚儀(Junyi),,703-742,,
1264. 竇希玠: 1 首,male,,,,,唐朝--關內道--岐州--扶風(Fufeng),poet詩人,707-713,,
1265. 陸景初: 1 首,male,,665-736,,,	唐朝--江南道--蘇州--吳縣(Wu Xian),"poet詩人,office: chief councilor[宰相]",711-729,,
1266. 鄭南金: 1 首,male,,,,,,poet詩人,,,
1267. 李咸: 1 首,male,,,,,,skilled at writing工於文,707-?,,
1268. 於經野: 1 首,,,,,,,,,,
1269. 王景: 1 首,,,,,,,,,,
1270. 畢幹泰: 1 首,,,,,,,,,,
1271. 麹瞻: 1 首,male,,,,,唐朝--河南道--豫州--西平(Xiping),poet詩人,707-?,,
1272. 樊忱: 1 首,male,,,,,,poet詩人,705-713,,
1273. 孫佺: 1 首,male,,,,,唐朝--河北道--汝州--郟城(Jiacheng),poet詩人,712-712,,
1274. 李從遠: 1 首,male,,,,,唐朝--河北道--趙州--高邑(Gaoyi),poet詩人,708-708,,
1275. 周利用: 1 首,male,,,,,,poet詩人,,,
1276. 張景源: 1 首,male,,,,,,"poet詩人,skilled at writing工於文",706-?,,
1277. 李恒: 1 首,male,,?-810,,,,,,,
1278. 源光裕: 1 首,male,,,?-725,,唐朝--河北道--相州--臨漳(Linzhang),"poet詩人,civil office[為官者：文]",723-725,,
